               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.029337,            0.047313,           0.0033174,             0.86925,             0.82373,             0.85453,             0.59072,            0.029278,            0.049931,           0.0052023,            0.004456,            0.004456,            0.004456
                  86,            0.029407,             0.04676,           0.0032867,             0.86031,             0.82399,             0.85495,             0.59071,            0.029335,            0.050137,           0.0050963,             0.00439,             0.00439,             0.00439
                  87,            0.029262,            0.047214,           0.0032254,             0.85145,             0.81177,             0.85315,             0.59204,            0.029298,            0.050209,           0.0050612,            0.004324,            0.004324,            0.004324
                  88,            0.029171,              0.0474,           0.0032217,             0.85056,             0.80389,              0.8482,             0.59271,            0.029351,            0.050016,           0.0050311,            0.004258,            0.004258,            0.004258
                  89,            0.029026,            0.047367,           0.0032185,             0.81471,              0.8334,             0.84971,             0.59658,            0.029236,             0.04983,           0.0050352,            0.004192,            0.004192,            0.004192
                  90,            0.029064,            0.046223,           0.0031941,              0.8381,             0.82755,             0.85716,             0.59124,            0.029207,            0.049591,           0.0049552,            0.004126,            0.004126,            0.004126
                  91,            0.028923,             0.04776,           0.0032339,             0.83422,             0.83373,             0.85653,             0.59707,            0.029166,            0.049996,           0.0049965,             0.00406,             0.00406,             0.00406
                  92,            0.028873,            0.047049,           0.0032496,             0.85628,             0.81831,             0.85656,             0.59956,            0.029091,            0.049823,           0.0049572,            0.003994,            0.003994,            0.003994
                  93,            0.028654,             0.04588,           0.0031127,              0.8496,             0.81101,             0.85753,             0.59834,             0.02909,            0.049454,           0.0050171,            0.003928,            0.003928,            0.003928
                  94,            0.028516,            0.046836,           0.0030569,             0.84526,             0.82245,             0.85852,             0.59631,            0.028999,            0.049218,           0.0050591,            0.003862,            0.003862,            0.003862
                  95,             0.02858,            0.046903,           0.0030697,             0.83196,             0.82961,             0.85367,             0.59958,            0.028942,             0.04931,           0.0052007,            0.003796,            0.003796,            0.003796
                  96,            0.028354,            0.045255,           0.0030008,             0.87127,             0.81046,             0.85916,             0.60072,            0.028899,              0.0493,           0.0051244,             0.00373,             0.00373,             0.00373
                  97,            0.028237,            0.045022,           0.0029911,             0.86899,             0.80755,             0.85679,              0.6016,            0.028848,            0.049384,           0.0052075,            0.003664,            0.003664,            0.003664
                  98,            0.028484,            0.047565,           0.0030248,             0.83856,             0.84088,              0.8632,             0.60364,            0.028861,            0.049274,           0.0051376,            0.003598,            0.003598,            0.003598
                  99,            0.028252,            0.047169,           0.0030027,             0.81264,             0.83988,             0.85383,              0.6046,            0.028884,            0.049291,           0.0052383,            0.003532,            0.003532,            0.003532
                 100,            0.028157,            0.046602,           0.0029592,             0.87061,             0.81229,             0.86354,             0.60173,            0.028817,             0.04941,           0.0050794,            0.003466,            0.003466,            0.003466
                 101,            0.028071,            0.046703,           0.0029828,             0.86391,             0.81501,             0.86305,             0.60382,            0.028772,            0.049272,           0.0050629,              0.0034,              0.0034,              0.0034
                 102,            0.027952,             0.04563,           0.0029361,             0.84974,             0.81194,             0.86211,             0.60603,            0.028714,            0.049454,           0.0049669,            0.003334,            0.003334,            0.003334
                 103,            0.027782,            0.044128,           0.0028341,             0.86378,             0.81883,             0.86351,             0.60418,            0.028703,            0.049442,           0.0049846,            0.003268,            0.003268,            0.003268
                 104,            0.027664,            0.045809,            0.002825,             0.86882,              0.8192,             0.86533,             0.60768,             0.02871,            0.049344,           0.0049646,            0.003202,            0.003202,            0.003202
                 105,            0.027627,            0.044723,           0.0028089,             0.86564,             0.82049,             0.86477,             0.60672,            0.028703,            0.049368,           0.0049752,            0.003136,            0.003136,            0.003136
                 106,            0.027465,            0.044766,           0.0028112,             0.86974,             0.82169,             0.86448,             0.60782,            0.028655,            0.049211,           0.0049124,             0.00307,             0.00307,             0.00307
                 107,            0.027299,               0.044,           0.0027547,             0.86685,             0.81979,             0.86418,             0.60814,            0.028635,            0.049175,           0.0049098,            0.003004,            0.003004,            0.003004
                 108,            0.027274,            0.045899,           0.0027383,             0.86104,             0.82168,             0.86477,             0.60797,             0.02863,            0.049495,           0.0048795,            0.002938,            0.002938,            0.002938
                 109,            0.027338,            0.044598,           0.0027128,             0.86261,             0.82249,              0.8636,             0.60966,            0.028602,             0.04945,           0.0049124,            0.002872,            0.002872,            0.002872
                 110,             0.02714,            0.045867,            0.002698,             0.86566,             0.82275,             0.86418,             0.61215,            0.028604,            0.049631,           0.0048799,            0.002806,            0.002806,            0.002806
                 111,            0.027106,            0.044846,           0.0027886,             0.85846,             0.82664,             0.86475,             0.61376,            0.028605,              0.0494,           0.0048878,             0.00274,             0.00274,             0.00274
                 112,            0.026967,            0.044013,           0.0026705,             0.84797,             0.83371,             0.86414,             0.61096,            0.028599,            0.049411,           0.0048504,            0.002674,            0.002674,            0.002674
                 113,            0.026743,             0.04357,           0.0026228,             0.86447,             0.82342,             0.86518,             0.61544,             0.02859,            0.049338,           0.0048532,            0.002608,            0.002608,            0.002608
                 114,            0.026805,            0.043859,           0.0026401,             0.86895,             0.82192,             0.86513,             0.61514,            0.028556,            0.049348,           0.0048333,            0.002542,            0.002542,            0.002542
                 115,            0.026749,            0.043575,           0.0026347,             0.86356,             0.82849,             0.86772,             0.61323,            0.028522,            0.049266,           0.0048522,            0.002476,            0.002476,            0.002476
                 116,            0.026559,            0.044091,           0.0026078,             0.86351,             0.81841,             0.86158,             0.61443,            0.028496,            0.049313,            0.004886,             0.00241,             0.00241,             0.00241
                 117,            0.026529,            0.043212,           0.0025232,             0.86203,              0.8251,             0.86424,             0.61576,             0.02848,            0.049396,           0.0049039,            0.002344,            0.002344,            0.002344
                 118,            0.026322,            0.043378,           0.0025113,             0.86165,             0.82608,             0.86311,             0.61646,            0.028483,            0.049373,            0.004917,            0.002278,            0.002278,            0.002278
                 119,            0.026178,             0.04175,           0.0025363,             0.86376,             0.82165,             0.86339,             0.61822,            0.028477,            0.049336,            0.004923,            0.002212,            0.002212,            0.002212
                 120,            0.026103,            0.041936,           0.0024396,              0.8552,             0.82554,             0.86214,             0.61823,            0.028482,            0.049345,           0.0049192,            0.002146,            0.002146,            0.002146
                 121,            0.026106,            0.041857,            0.002468,             0.85409,             0.82708,             0.86372,              0.6175,            0.028483,            0.049375,           0.0049285,             0.00208,             0.00208,             0.00208
                 122,            0.025905,            0.042882,           0.0024192,             0.85843,             0.82755,             0.86329,             0.61734,            0.028478,             0.04933,           0.0049373,            0.002014,            0.002014,            0.002014
                 123,            0.025816,            0.041957,           0.0024229,             0.84885,             0.83132,             0.86352,             0.61487,            0.028491,            0.049362,           0.0049421,            0.001948,            0.001948,            0.001948
                 124,            0.025832,            0.043116,           0.0024499,             0.85155,             0.82809,             0.86184,             0.61509,            0.028509,            0.049384,           0.0049261,            0.001882,            0.001882,            0.001882
                 125,            0.025776,            0.042884,           0.0024679,             0.85604,             0.82582,             0.86231,             0.61383,            0.028525,            0.049449,           0.0049182,            0.001816,            0.001816,            0.001816
                 126,            0.025479,            0.042277,           0.0024216,             0.85348,             0.83201,             0.86193,             0.61402,            0.028524,            0.049514,           0.0049099,             0.00175,             0.00175,             0.00175
                 127,            0.025572,            0.042316,           0.0024113,             0.85691,             0.82638,             0.85912,             0.61507,            0.028515,            0.049634,            0.004908,            0.001684,            0.001684,            0.001684
                 128,            0.025428,            0.041535,            0.002328,             0.85381,             0.83637,             0.86109,             0.61677,            0.028517,            0.049633,           0.0049163,            0.001618,            0.001618,            0.001618
                 129,            0.025406,            0.042211,           0.0023877,             0.85518,             0.83668,             0.86157,             0.61951,            0.028529,            0.049711,           0.0049333,            0.001552,            0.001552,            0.001552
                 130,            0.025405,            0.042047,           0.0023639,             0.85544,             0.83744,             0.86157,              0.6198,            0.028526,            0.049691,           0.0049465,            0.001486,            0.001486,            0.001486
                 131,            0.025205,            0.040294,           0.0022509,             0.85876,              0.8328,             0.86227,             0.62253,            0.028546,            0.049744,           0.0049534,             0.00142,             0.00142,             0.00142
                 132,            0.025147,             0.04081,           0.0023043,             0.86668,             0.82493,             0.86239,             0.62218,            0.028548,            0.049758,           0.0049628,            0.001354,            0.001354,            0.001354
                 133,            0.025059,            0.041069,           0.0022821,              0.8586,              0.8331,             0.86205,             0.62222,            0.028544,            0.049775,           0.0049571,            0.001288,            0.001288,            0.001288
                 134,            0.024736,            0.039852,           0.0022392,             0.86225,             0.83003,             0.86339,              0.6242,            0.028545,            0.049803,           0.0049554,            0.001222,            0.001222,            0.001222
                 135,            0.024728,            0.041417,           0.0022592,             0.86727,             0.82894,             0.86257,             0.62467,            0.028548,            0.049835,           0.0049494,            0.001156,            0.001156,            0.001156
                 136,            0.024611,            0.039302,           0.0021924,             0.87077,              0.8299,             0.86271,              0.6261,            0.028546,            0.049848,           0.0049466,             0.00109,             0.00109,             0.00109
                 137,            0.024699,            0.040479,           0.0022042,             0.86861,             0.83268,             0.86279,             0.62462,            0.028547,            0.049896,           0.0049437,            0.001024,            0.001024,            0.001024
                 138,             0.02461,            0.040666,           0.0022182,             0.86865,              0.8323,             0.86252,             0.62555,             0.02854,            0.049921,           0.0049382,            0.000958,            0.000958,            0.000958
                 139,            0.024425,            0.039054,           0.0021881,             0.86826,              0.8323,             0.86315,             0.62547,            0.028536,             0.04997,           0.0049345,            0.000892,            0.000892,            0.000892
                 140,            0.024586,            0.042163,           0.0022561,             0.86661,             0.83332,             0.86282,             0.62453,            0.028525,             0.05002,           0.0049315,            0.000826,            0.000826,            0.000826
                 141,            0.024329,            0.040134,           0.0021422,             0.86454,             0.83361,             0.86347,             0.62628,            0.028525,            0.050068,           0.0049272,             0.00076,             0.00076,             0.00076
                 142,            0.024308,            0.040381,           0.0021647,             0.86581,             0.83205,             0.86327,              0.6245,            0.028523,            0.050133,           0.0049262,            0.000694,            0.000694,            0.000694
                 143,            0.024229,             0.04026,           0.0021569,             0.86279,             0.83413,             0.86305,             0.62561,             0.02852,            0.050173,           0.0049236,            0.000628,            0.000628,            0.000628
                 144,            0.023981,            0.039032,           0.0020546,             0.86618,             0.83554,             0.86304,              0.6264,            0.028511,            0.050176,           0.0049226,            0.000562,            0.000562,            0.000562
                 145,             0.02388,            0.038844,           0.0020753,             0.86729,             0.83405,             0.86371,             0.62682,             0.02851,            0.050194,           0.0049249,            0.000496,            0.000496,            0.000496
                 146,            0.023854,            0.039902,            0.002114,             0.86808,             0.82687,             0.86414,             0.62673,            0.028511,            0.050228,           0.0049268,             0.00043,             0.00043,             0.00043
                 147,            0.023658,            0.039456,            0.002068,             0.86913,             0.82772,             0.86311,             0.62549,            0.028511,            0.050246,           0.0049302,            0.000364,            0.000364,            0.000364
                 148,             0.02371,            0.039507,           0.0020736,              0.8699,             0.82797,             0.86479,             0.62623,            0.028517,            0.050279,           0.0049358,            0.000298,            0.000298,            0.000298
                 149,            0.023627,            0.039254,           0.0020876,             0.87061,             0.82799,             0.86417,              0.6266,            0.028521,            0.050319,           0.0049408,            0.000232,            0.000232,            0.000232
